mM,VALOR,HCO3,NO3-,NH4+,H2PO4-,K+,Ca+2,Mg+2,SO4-2,Fe2+,Mn 2+,Zn2+,Cu2+,B3+,Mo 2+,Co2+,Cl-,Na+
Fertilizante,0,0,9.38693625193657,4.17800052831859,1.29141561816095,5.62803786134561,3.74270173162333,2.0571898786258,2.1830656479027,0.03581341212284,0.018201674554059,0.00229326239508325,0.00157366317313442,0.0462534690101758,0.000521159057744424,,,
Ácido nítrico,0,,,,,,,,,,,,,,,,,
Ácido fosfórico,0,,,,,,,,,,,,,,,,,
Ácido sulfúrico,0,,,,,,,,,,,,,,,,,
"Nitrato de amonio, Nitamks",1,,,,,,,,,,,,,,,,,
"Nitrato de Potasio más Mg, KERF",1,,,,,,,,,,,,,,,,,
"Nitrato de potasio más S, Nitroksul",1,,,,,,,,,,,,,,,,,
Nitrato de calcio samurai,1,,,,,,,,,,,,,,,,,
Nitrato de calcio bi,1,,,,,,,,,,,,,,,,,
Nitrato de magnesio,1,,,,,,,,,,,,,,,,,
"Fosfato monoamónico, Map colossal",1,,,,,,,,,,,,,,,,,
"Fosfato monopotásico, Mkp colossal",1,,,,,,,,,,,,,,,,,
Sulfato de amonio,1,,,,,,,,,,,,,,,,,
"Sulfato de potasio, Solucros",1,,,,,,,,,,,,,,,,,
Sulfato de calcio,1,,,,,,,,,,,,,,,,,
"Sulfato de magnesio, Sulmag",0,,,,,,,,,,,,,,,,,
Sulfato de fierro,0,,,,,,,,,,,,,,,,,
Sulfato de manganeso,0,,,,,,,,,,,,,,,,,
Sulfato de zinc,0,,,,,,,,,,,,,,,,,
Sulfato de cobre,0,,,,,,,,,,,,,,,,,
Quelato Ca 95%,1,,,,,,,,,,,,,,,,,
"Quelato Fe 6%, microhow",1,,,,,,,,,,,,,,,,,
"Quelato de Mn 13%, microhow",1,,,,,,,,,,,,,,,,,
"Quelato de Zn 15%, microhow",1,,,,,,,,,,,,,,,,,
"Quelato Cu 15%, microhow",1,,,,,,,,,,,,,,,,,
Quelato full mix,0,,,,,,,,,,,,,,,,,
Quelato full mix B,0,,,,,,,,,,,,,,,,,
"Ácido bórico, abo",1,,,,,,,,,,,,,,,,,
Solubor,0,,,,,,,,,,,,,,,,,
"Borato sódico, greenboro",0,,,,,,,,,,,,,,,,,
Molibdato de amonio,1,,,,,,,,,,,,,,,,,
"Molibdato de sodio, MOST",1,,,,,,,,,,,,,,,,,
Cloruro de potasio,0,,,,,,,,,,,,,,,,,
Cloruro de calcio,0,,,,,,,,,,,,,,,,,
